checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_status,delay_slices
mobile,ended,7.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
connect,ended,-55.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,30.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,261.0,no_rented_before,,delayed,Delay > 4 hours
connect,ended,84.0,no_rented_before,,delayed,Delay <= 2 hours
connect,ended,85.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,10.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,-113.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,423.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,500.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
connect,ended,-5.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,1.0,no_rented_before,,delayed,Delay <= 10 mins
connect,ended,-548.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,266.0,rented_before,30.0,delayed,Delay > 4 hours
mobile,ended,145.0,no_rented_before,,delayed,Delay <= 4 hours
connect,ended,8.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,-8.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,74.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,126.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,15.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-8.0,no_rented_before,,in advance,Delay <= 10 mins
connect,ended,-692.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,195.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-133.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-22.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,201.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,21.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,-307.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-40.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,225.0,rented_before,60.0,delayed,Delay <= 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-37.0,no_rented_before,,in advance,In advance < 30 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-12.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,-11.0,no_rented_before,,in advance,Delay <= 10 mins
connect,ended,-26.0,no_rented_before,,in advance,In advance < 15 mins
connect,ended,-49.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,381.0,no_rented_before,,delayed,Delay > 4 hours
connect,ended,22.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,144.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,69.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,19.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,10.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,-5.0,no_rented_before,,in advance,Delay <= 10 mins
connect,ended,-127.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-158.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,54.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,3.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,201.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,167.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-136.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-158.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,20.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
connect,ended,-7.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,-15.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,-127.0,rented_before,60.0,in advance,In advance < 30 mins
mobile,ended,82.0,no_rented_before,,delayed,Delay <= 2 hours
connect,ended,37.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,0.0,no_rented_before,,in time,No delay
mobile,ended,,rented_before,120.0,in time,Delay > 4 hours
connect,ended,-41.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,-25.0,no_rented_before,,in advance,In advance < 15 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-1283.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,40.0,no_rented_before,,delayed,Delay <= 1 hour
connect,ended,-22.0,rented_before,180.0,in advance,In advance < 15 mins
mobile,ended,211.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,97.0,no_rented_before,,delayed,Delay <= 2 hours
connect,ended,16.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,536.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,159.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-7.0,no_rented_before,,in advance,Delay <= 10 mins
connect,ended,34.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,203.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,275.0,no_rented_before,,delayed,Delay > 4 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-193.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,11.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,91.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,23.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
connect,ended,4.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,-28.0,no_rented_before,,in advance,In advance < 15 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
connect,ended,23.0,rented_before,0.0,delayed,10 <= Delay <= 30 mins
mobile,ended,-965.0,rented_before,0.0,in advance,In advance < 30 mins
mobile,ended,6.0,no_rented_before,,delayed,Delay <= 10 mins
connect,ended,-102.0,rented_before,30.0,in advance,In advance < 30 mins
mobile,ended,-232.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,-22.0,no_rented_before,,in advance,In advance < 15 mins
mobile,ended,322.0,no_rented_before,,delayed,Delay > 4 hours
mobile,ended,31.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,63.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,10.0,no_rented_before,,delayed,Delay <= 10 mins
connect,ended,40.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,20.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,5.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,7.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,-1.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,24.0,rented_before,150.0,delayed,10 <= Delay <= 30 mins
mobile,ended,170.0,no_rented_before,,delayed,Delay <= 4 hours
