checkin_type,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes
connect,-281.0,no_rented_before,
mobile,-79.0,rented_before,180.0
mobile,532.0,no_rented_before,
mobile,30.0,no_rented_before,
mobile,2.0,no_rented_before,
mobile,31.0,no_rented_before,
mobile,-45.0,no_rented_before,
connect,-8.0,no_rented_before,
mobile,243.0,no_rented_before,
connect,-346.0,no_rented_before,
mobile,42.0,no_rented_before,
mobile,34.0,no_rented_before,
mobile,-13.0,no_rented_before,
mobile,-31.0,no_rented_before,
connect,6.0,no_rented_before,
connect,-117.0,no_rented_before,
mobile,320.0,no_rented_before,
mobile,-221.0,no_rented_before,
mobile,-7.0,no_rented_before,
mobile,-56.0,no_rented_before,
mobile,-47.0,no_rented_before,
mobile,4.0,no_rented_before,
mobile,12.0,no_rented_before,
mobile,42.0,no_rented_before,
mobile,-25.0,no_rented_before,
mobile,9.0,no_rented_before,
mobile,-13.0,no_rented_before,
mobile,-77.0,no_rented_before,
mobile,25.0,no_rented_before,
mobile,-13.0,no_rented_before,
mobile,-49.0,no_rented_before,
mobile,10.0,no_rented_before,
mobile,2.0,no_rented_before,
mobile,-107.0,no_rented_before,
mobile,96.0,no_rented_before,
mobile,-85.0,no_rented_before,
mobile,-50.0,no_rented_before,
mobile,9.0,no_rented_before,
connect,87.0,no_rented_before,
mobile,-442.0,no_rented_before,
mobile,-290.0,no_rented_before,
mobile,7.0,no_rented_before,
mobile,26.0,no_rented_before,
mobile,-38.0,no_rented_before,
connect,8.0,no_rented_before,
connect,-116.0,no_rented_before,
mobile,58.0,no_rented_before,
mobile,-29.0,rented_before,600.0
mobile,104.0,no_rented_before,
mobile,15.0,no_rented_before,
mobile,-13.0,rented_before,0.0
mobile,208.0,no_rented_before,
connect,1.0,no_rented_before,
connect,89.0,no_rented_before,
mobile,-14.0,no_rented_before,
connect,10.0,no_rented_before,
connect,-570.0,no_rented_before,
mobile,-81.0,no_rented_before,
mobile,182.0,no_rented_before,
connect,6.0,rented_before,570.0
mobile,370.0,no_rented_before,
mobile,126.0,no_rented_before,
connect,-114.0,no_rented_before,
mobile,73.0,no_rented_before,
mobile,8.0,no_rented_before,
mobile,-91.0,no_rented_before,
mobile,44.0,no_rented_before,
mobile,124.0,no_rented_before,
mobile,-58.0,no_rented_before,
mobile,8.0,no_rented_before,
mobile,78.0,no_rented_before,
mobile,49.0,no_rented_before,
mobile,-13.0,no_rented_before,
mobile,97.0,rented_before,270.0
mobile,2632.0,no_rented_before,
mobile,-1.0,no_rented_before,
connect,245.0,no_rented_before,
connect,-308.0,rented_before,540.0
mobile,20.0,no_rented_before,
mobile,76.0,no_rented_before,
mobile,48.0,no_rented_before,
mobile,31.0,no_rented_before,
mobile,62.0,no_rented_before,
mobile,60.0,no_rented_before,
mobile,203.0,no_rented_before,
connect,35.0,no_rented_before,
mobile,-23.0,no_rented_before,
connect,-58.0,no_rented_before,
mobile,62.0,no_rented_before,
mobile,-201.0,no_rented_before,
mobile,-159.0,no_rented_before,
mobile,4.0,no_rented_before,
mobile,21.0,no_rented_before,
mobile,351.0,no_rented_before,
mobile,4.0,no_rented_before,
connect,-1.0,no_rented_before,
mobile,322.0,no_rented_before,
mobile,57.0,no_rented_before,
mobile,38.0,no_rented_before,
mobile,1151.0,no_rented_before,
mobile,38.0,no_rented_before,
mobile,-11.0,no_rented_before,
mobile,25.0,no_rented_before,
mobile,151.0,no_rented_before,
mobile,28.0,no_rented_before,
mobile,16.0,no_rented_before,
mobile,29.0,no_rented_before,
mobile,-40.0,no_rented_before,
mobile,900.0,no_rented_before,
mobile,3.0,no_rented_before,
connect,-51.0,no_rented_before,
mobile,-34.0,no_rented_before,
mobile,385.0,no_rented_before,
mobile,-126.0,no_rented_before,
mobile,11.0,no_rented_before,
mobile,-124.0,no_rented_before,
mobile,-889.0,no_rented_before,
mobile,16.0,no_rented_before,
mobile,-84.0,no_rented_before,
mobile,11.0,no_rented_before,
mobile,1505.0,no_rented_before,
mobile,719.0,no_rented_before,
mobile,66.0,no_rented_before,
mobile,-169.0,no_rented_before,
mobile,-47.0,no_rented_before,
mobile,235.0,no_rented_before,
mobile,48.0,no_rented_before,
connect,186.0,rented_before,240.0
mobile,38.0,no_rented_before,
mobile,58.0,no_rented_before,
mobile,41.0,no_rented_before,
mobile,-64.0,no_rented_before,
mobile,-53.0,no_rented_before,
connect,-211.0,no_rented_before,
mobile,28.0,no_rented_before,
mobile,38.0,no_rented_before,
connect,22.0,no_rented_before,
connect,-40.0,no_rented_before,
mobile,-100.0,no_rented_before,
mobile,7.0,no_rented_before,
mobile,-24.0,no_rented_before,
mobile,1808.0,no_rented_before,
mobile,-47.0,no_rented_before,
mobile,-17.0,no_rented_before,
mobile,88.0,no_rented_before,
mobile,273.0,no_rented_before,
mobile,-17.0,no_rented_before,
mobile,-114.0,no_rented_before,
connect,54.0,no_rented_before,
mobile,33.0,no_rented_before,
mobile,-78.0,no_rented_before,
mobile,-215.0,no_rented_before,
connect,485.0,no_rented_before,
connect,454.0,no_rented_before,
mobile,-6.0,no_rented_before,
mobile,-50.0,no_rented_before,
mobile,8.0,no_rented_before,
mobile,217.0,no_rented_before,
mobile,67.0,no_rented_before,
mobile,-6.0,no_rented_before,
mobile,101.0,rented_before,30.0
mobile,43.0,no_rented_before,
mobile,-44.0,no_rented_before,
mobile,128.0,no_rented_before,
